SalePrice,Id
190211.44,1461
188251.62,1462
203705.19,1463
184399.73,1464
244771.33,1465
168956.83,1466
218885.03,1467
216900.97,1468
181047.11,1469
167089.8,1470
164432.64,1471
243385.45,1472
170104.25,1473
201992.58,1474
177470.11,1475
151015.9,1476
155484.25,1477
173853.48,1478
173895.23,1479
173914.31,1480
259762.33,1481
164085.02,1482
222458.03,1483
163393.2,1484
177119.2,1485
204597.38,1486
166789.08,1487
209877.45,1488
224113.47,1489
154245.36,1490
158992.08,1491
172908.02,1492
178933.78,1493
203700.5,1494
199152.39,1495
250427.94,1496
186389.42,1497
174601.53,1498
169501.3,1499
167800.48,1500
177719.03,1501
184749.45,1502
168308.42,1503
165580.19,1504
171357.08,1505
212927.11,1506
252832.45,1507
207338.0,1508
161583.88,1509
162318.92,1510
185744.58,1511
159952.58,1512
143378.23,1513
288643.6,1514
173460.0,1515
189131.97,1516
178442.0,1517
198513.27,1518
285798.3,1519
165846.19,1520
174414.7,1521
148440.56,1522
179985.58,1523
187646.36,1524
236278.33,1525
246593.98,1526
258284.44,1527
197193.12,1528
151097.6,1529
230480.88,1530
255664.27,1531
137379.5,1532
211553.52,1533
167766.62,1534
163928.11,1535
163641.81,1536
161230.58,1537
170929.39,1538
206184.6,1539
162030.47,1540
239701.34,1541
170087.75,1542
202532.42,1543
171882.72,1544
166026.77,1545
251132.62,1546
190815.42,1547
160348.12,1548
158386.2,1549
158918.9,1550
164788.89,1551
173936.2,1552
154178.52,1553
219581.28,1554
195167.31,1555
172687.44,1556
202101.7,1557
149390.47,1558
160766.23,1559
174311.16,1560
204636.39,1561
198287.19,1562
181303.1,1563
177404.33,1564
200049.58,1565
212082.0,1566
152427.27,1567
154176.88,1568
170311.95,1569
215030.48,1570
205523.95,1571
175105.67,1572
269812.6,1573
250688.14,1574
227906.94,1575
164649.4,1576
152579.44,1577
174610.14,1578
308735.25,1579
171321.61,1580
165350.86,1581
157858.47,1582
171017.78,1583
173306.61,1584
205710.39,1585
156667.64,1586
167934.44,1587
142198.5,1588
168397.77,1589
170697.12,1590
228677.53,1591
215838.69,1592
174017.02,1593
176451.05,1594
197235.4,1595
201183.14,1596
174121.34,1597
217678.58,1598
206959.5,1599
214903.22,1600
153880.19,1601
212698.77,1602
168483.44,1603
193799.66,1604
195924.94,1605
171971.95,1606
146771.84,1607
209936.95,1608
175662.86,1609
166729.53,1610
135020.69,1611
206348.47,1612
211856.95,1613
189664.0,1614
160923.25,1615
126454.14,1616
167777.66,1617
205953.11,1618
210856.38,1619
264876.12,1620
177637.2,1621
277166.25,1622
192660.11,1623
143295.23,1624
167809.39,1625
174073.73,1626
239000.84,1627
233209.84,1628
186181.27,1629
233192.5,1630
158869.6,1631
217644.23,1632
197488.75,1633
177724.97,1634
205174.42,1635
228645.52,1636
224621.31,1637
204517.25,1638
241395.06,1639
152908.02,1640
165880.88,1641
177643.11,1642
179252.66,1643
234172.58,1644
168019.84,1645
324356.06,1646
177700.5,1647
174465.11,1648
173859.81,1649
190930.88,1650
247644.8,1651
166940.7,1652
180366.38,1653
171548.44,1654
158112.14,1655
165333.77,1656
223753.84,1657
225978.14,1658
181067.45,1659
206079.44,1660
177131.39,1661
181237.47,1662
167218.33,1663
182479.02,1664
167394.38,1665
189134.64,1666
196682.89,1667
175958.67,1668
226960.11,1669
164408.16,1670
159163.48,1671
179741.12,1672
197987.33,1673
173868.89,1674
163214.97,1675
179494.23,1676
183753.38,1677
165145.27,1678
204359.12,1679
171966.83,1680
196080.62,1681
213928.1,1682
191575.14,1683
133454.86,1684
261421.73,1685
168967.45,1686
242497.75,1687
184518.66,1688
159703.88,1689
177440.23,1690
168619.81,1691
257551.02,1692
185190.62,1693
160010.77,1694
202262.77,1695
185399.34,1696
182576.92,1697
206545.81,1698
212018.14,1699
168115.28,1700
193567.55,1701
161643.5,1702
165083.45,1703
162904.95,1704
207264.1,1705
214019.36,1706
186009.22,1707
177756.38,1708
191440.42,1709
327130.75,1710
174772.98,1711
189062.95,1712
180036.19,1713
181493.33,1714
176850.8,1715
217765.27,1716
189877.08,1717
192331.58,1718
198612.69,1719
157994.67,1720
172040.64,1721
237346.98,1722
176728.56,1723
180669.81,1724
165214.92,1725
189098.1,1726
179987.33,1727
193251.56,1728
166065.27,1729
174943.98,1730
208023.22,1731
187982.48,1732
225710.11,1733
197294.55,1734
159917.44,1735
174773.17,1736
189491.11,1737
151161.19,1738
242759.42,1739
215060.75,1740
205721.53,1741
177760.4,1742
173036.42,1743
189778.56,1744
181630.94,1745
171977.89,1746
188831.84,1747
167718.9,1748
166159.2,1749
170587.34,1750
202340.08,1751
171058.45,1752
194673.7,1753
231240.73,1754
188861.16,1755
176320.55,1756
187857.02,1757
196410.5,1758
196390.75,1759
170574.36,1760
174648.73,1761
243756.4,1762
209269.9,1763
149097.53,1764
316062.84,1765
217955.72,1766
218391.3,1767
167870.83,1768
157661.9,1769
225865.14,1770
170873.45,1771
160929.34,1772
166250.05,1773
390527.7,1774
168803.6,1775
169308.7,1776
240720.22,1777
202288.78,1778
246397.67,1779
190571.69,1780
257017.98,1781
239224.86,1782
252620.89,1783
177094.75,1784
273686.12,1785
165561.45,1786
199868.3,1787
179490.36,1788
203694.42,1789
170420.38,1790
197796.84,1791
150418.33,1792
188000.48,1793
179853.5,1794
179161.6,1795
333660.06,1796
218108.12,1797
187744.19,1798
183651.66,1799
175884.14,1800
201999.97,1801
159965.12,1802
153886.97,1803
210413.27,1804
177148.88,1805
168764.83,1806
